System log for account marc.landolt@yetnet.ch (msn) connected at 15.03.2007 17::11::39
---- +++ marc.landolt@yetnet.ch hat sich angemeldet @ 2007-03-15 17:11:39 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-03-15 17:22:53 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-03-15 17:39:44 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-03-15 17:55:26 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch wurde untätig @ 2007-03-15 19:30:08 ----
---- +++ marc.landolt@yetnet.ch wurde tätig @ 1970-01-01 01:00:00 ----
---- +++ marc.landolt@yetnet.ch hat sich abgemeldet @ 2007-03-16 17:17:52 ----
