System log for account marclandoltaarau (yahoo) connected at 28.01.2007 13::29::50
---- +++ marclandoltaarau hat sich angemeldet @ 28.01.2007 13::29::50 ----
---- +++ marclandoltaarau wurde tätig @ 01.01.1970 01::00::00 ----
---- +++ marclandoltaarau wurde untätig @ 28.01.2007 13::30::08 ----
---- +++ marclandoltaarau wurde tätig @ 01.01.1970 01::00::00 ----
---- +++ marclandoltaarau wurde untätig @ 28.01.2007 18::32::17 ----
---- +++ marclandoltaarau wurde tätig @ 01.01.1970 01::00::00 ----
---- +++ marclandoltaarau wurde untätig @ 28.01.2007 19::06::06 ----
---- +++ marclandoltaarau wurde tätig @ 01.01.1970 01::00::00 ----
---- +++ marclandoltaarau wurde untätig @ 28.01.2007 19::19::48 ----
---- +++ marclandoltaarau wurde tätig @ 01.01.1970 01::00::00 ----
---- +++ marclandoltaarau hat sich abgemeldet @ 28.01.2007 20::23::55 ----
