001/004_2015-07-29_02-53-20.log:<181>Jul 29 03:40:33 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 0-24-e4-0-33-82, IP: 192.168.1.10]
001/004_2015-07-29_02-53-20.log:<181>Jul 29 05:24:43 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.31]
001/004_2015-07-29_02-53-20.log:<181>Jul 29 05:33:38 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.31]
001/005_2015-07-29_08-53-02.log:<181>Jul 29 08:35:49 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 0-24-e4-0-33-82, IP: 192.168.1.10]
001/005_2015-07-29_08-53-02.log:<181>Jul 29 13:00:45 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.31]
001/005_2015-07-29_08-53-02.log:<181>Jul 29 14:04:36 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: c0-9f-42-7a-ed-2b, IP: 192.168.1.45]
001/005_2015-07-29_08-53-02.log:<181>Jul 29 14:56:45 Vigor: [DHCP] Vigor DHCP server has recycled an IP [MAC: f0-25-b7-a1-cd-af, IP: 192.168.1.11]
001/006_2015-07-29_15-36-03.log:<181>Jul 29 15:26:53 Vigor: [DHCP] Vigor DHCP server has recycled an IP [MAC: 14-2d-27-19-92-ed, IP: 192.168.1.32]
001/006_2015-07-29_15-36-03.log:<181>Jul 29 15:33:25 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: c0-9f-42-7a-ed-2b, IP: 192.168.1.45]
001/006_2015-07-29_15-36-03.log:<181>Jul 29 17:47:47 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: b0-e0-3c-71-6a-81, IP: 192.168.179.31]
001/006_2015-07-29_15-36-03.log:<181>Jul 29 17:49:05 Vigor: [DHCP] Vigor DHCP server has given out an IP [MAC: 8c-bf-a6-7e-c3-ed, IP: 192.168.179.32]
